New Naranja Walmart Opens to Shoppers,http://news.walmart.com/news-archive/2014/07/09/new-naranja-walmart-opens-to-shoppers,"July 09, 2014","
            New store located at 13600 SW. 288th St.Naranja Walmart creates approximately 300 new jobsStore open 24 hours a day, seven days a weekLocal Facebook page: www.facebook.com/walmart5671 Naranja, Fla.,…"
New San Antonio Supercenter Ready to Open Doors to Shoppers,http://news.walmart.com/news-archive/2014/04/23/new-san-antonio-supercenter-ready-to-open-doors-to-shoppers,"April 23, 2014","
            SAN ANTONIO, April 23, 2014 – A new Walmart opened Wednesday, April 23, in Northeast San Antonio after a community-filled grand opening event and formal ribbon cutting ceremony. The new store at 5626…"
New Downtown Honolulu Walmart to Open to Shoppers,http://news.walmart.com/news-archive/2014/07/07/new-downtown-honolulu-walmart-to-open-to-shoppers,"July 07, 2014","
            New store located in Downtown Honolulu at 1032 Fort St. MallDowntown Honolulu Walmart creates approximately 150 new jobsStore open 6 a.m. to 10 p.m. dailyGrand opening: Wednesday, July 9, at 8 a.m.…"
Two New San Antonio-Area Walmart Stores Open to Shoppers,http://news.walmart.com/news-archive/2014/08/13/new-san-antonio-area-walmart-opens-to-shoppers,"August 13, 2014","
            Wurzbach Supercenter store located at 12639 Blanco RoadWurzbach Local Facebook page: www.facebook.com/walmart4162Military Drive Neighborhood Market store located at 9526 Military Drive W.Military…"
New Donna Walmart Opens for Shoppers,http://news.walmart.com/news-archive/2015/03/04/new-donna-walmart-opens-for-shoppers,"March 04, 2015","
            New store located at 900 N. Salinas Blvd.Donna Walmart creates approximately 300 new jobsStore open 24 hours a day, seven days a weekLocal Facebook page: www.facebook.com/walmart2763 DONNA, Texas,…"
New Los Fresnos Walmart Opens for Shoppers,http://news.walmart.com/news-archive/2015/03/03/new-los-fresnos-walmart-opens-for-shoppers,"March 03, 2015","
            New store located at the corner of Evergreen and Highway 100Los Fresnos Walmart creates approximately 300 new jobsStore open 24 hours a day, seven days a weekLocal Facebook page:…"
New Spanish Fork Walmart Opens for Shoppers,http://news.walmart.com/news-archive/2015/03/09/new-spanish-fork-walmart-opens-for-shoppers,"March 09, 2015","
            New store located at 1206 N. Canyon Creek Pkwy.Spanish Fork Walmart creates approximately 300 new jobsStore open 24 hours a day, seven days a weekLocal Facebook page: www.facebook.com/walmart4068…"
New Berlin Walmart Opens for Shoppers,http://news.walmart.com/news-archive/2015/03/05/new-berlin-walmart-opens-for-shoppers,"March 05, 2015","
            New store located at 15205 W. Greenfield Ave.New Berlin Walmart creates approximately 85 new jobsStore open 24 hours a day, seven days a weekLocal Facebook page: www.facebook.com/walmart5438 NEW…"
New Lansing Walmart Opens for Shoppers,http://news.walmart.com/news-archive/2015/02/25/new-lansing-walmart-opens-for-shoppers,"February 25, 2015","
            New store located on Torrence AvenueLansing Walmart creates approximately 100 new jobsStore open 24 hours a day, seven days a weekLocal Facebook page: www.facebook.com/walmart1234 LANSING, Ill., Feb.…"
Expanded Gilford Walmart Re-Opens to Shoppers,http://news.walmart.com/news-archive/2014/10/22/expanded-gilford-walmart-re-opens-to-shoppers,"October 22, 2014","
            Expanded store located at 1458 Lake Shore RoadGilford Walmart expansion creates approximately 120 additional jobsStore open 7 a.m. to midnight, seven days a weekLocal Facebook page:…"
New Everett Walmart Opens to Shoppers,http://news.walmart.com/news-archive/2014/09/03/new-everett-walmart-opens-to-shoppers,"September 03, 2014","
            New store located at 1605 SE. Everett Mall WayEverett Walmart creates approximately 200 new jobsStore open 24 hours a day, seven days a weekLocal Facebook page: www.facebook.com/walmart3053 EVERETT,…"
